category,item_key,name,qty,notes,aliexpress_url,amazon_url,pcbway_url,other_urls,all_urls
Component,cooling-fan,Cooling Fan,1,Axial Fan DC 24V 80x80x25mm,https://s.click.aliexpress.com/e/_c3vE5Hkn,https://geni.us/CVu9uTU,,,https://s.click.aliexpress.com/e/_c3vE5Hkn | https://geni.us/CVu9uTU
Component,cooling-fan-2,Cooling Fan,1,Axial Fan DC 24V 50x50x15mm,https://s.click.aliexpress.com/e/_c3HKlvPV,https://geni.us/CzN9HW,,,https://s.click.aliexpress.com/e/_c3HKlvPV | https://geni.us/CzN9HW
Component,power-cable,Power Cable,1,"Power supply cable IEC 1,5m (buy the one for your region.",https://s.click.aliexpress.com/e/_c35fLyqX,https://geni.us/N8B7mcd,,,https://s.click.aliexpress.com/e/_c35fLyqX | https://geni.us/N8B7mcd
Component,usb-cable,USB Cable,1,"Cable USB 2.0 AM/BM 1,8m",https://s.click.aliexpress.com/e/_c4KzoqEn,https://geni.us/z1uw,,,https://s.click.aliexpress.com/e/_c4KzoqEn | https://geni.us/z1uw
Component,cable-management,Cable Management,10,Cable Ties,https://s.click.aliexpress.com/e/_c3fpXInh,https://geni.us/Ngp8sJt,,,https://s.click.aliexpress.com/e/_c3fpXInh | https://geni.us/Ngp8sJt
Component,bushing,Bushing,8,Self Lubricating bearing 5mm x 8mm x 10mm,https://s.click.aliexpress.com/e/_c3EeiUhd,https://geni.us/dDIAb,,,https://s.click.aliexpress.com/e/_c3EeiUhd | https://geni.us/dDIAb
Component,bushing-2,Bushing,2,Self Lubricating bearing 8mm x 12mm x 20mm,https://s.click.aliexpress.com/e/_c4TQ5dYX,https://geni.us/ybi5Rah,,,https://s.click.aliexpress.com/e/_c4TQ5dYX | https://geni.us/ybi5Rah
Component,timing-belt,Timing Belt,1.8m,"Breco belt T5, 15mm width, L 180cm",https://s.click.aliexpress.com/e/_c3NShxMB,https://geni.us/MeJZ,,,https://s.click.aliexpress.com/e/_c3NShxMB | https://geni.us/MeJZ
Component,base-plate,Base Plate,1,Wood Base - 550mm x 550mm x 16mm (Or another material fo your choosing),,,,,
Fasteners,hexagonal-head-cap-screw,Hexagonal Head Cap Screw,4,MC6S M3x8,https://s.click.aliexpress.com/e/_c3XeHXW7,https://geni.us/XebB,,,https://s.click.aliexpress.com/e/_c3XeHXW7 | https://geni.us/XebB
Fasteners,hexagonal-head-cap-screw-2,Hexagonal Head Cap Screw,30,MC6S M3x10,https://s.click.aliexpress.com/e/_c3XeHXW7,https://geni.us/XebB,,,https://s.click.aliexpress.com/e/_c3XeHXW7 | https://geni.us/XebB
Fasteners,hexagonal-head-cap-screw-3,Hexagonal Head Cap Screw,6,MC6S M3x12,https://s.click.aliexpress.com/e/_c3XeHXW7,https://geni.us/XebB,,,https://s.click.aliexpress.com/e/_c3XeHXW7 | https://geni.us/XebB
Fasteners,hexagonal-head-cap-screw-4,Hexagonal Head Cap Screw,13,MC6S M3x16,https://s.click.aliexpress.com/e/_c3XeHXW7,https://geni.us/XebB,,,https://s.click.aliexpress.com/e/_c3XeHXW7 | https://geni.us/XebB
Fasteners,hexagonal-head-cap-screw-5,Hexagonal Head Cap Screw,4,MC6S M3x20,https://s.click.aliexpress.com/e/_c3XeHXW7,https://geni.us/XebB,,,https://s.click.aliexpress.com/e/_c3XeHXW7 | https://geni.us/XebB
Fasteners,hexagonal-head-cap-screw-6,Hexagonal Head Cap Screw,5,MC6S M3x25,https://s.click.aliexpress.com/e/_c3XeHXW7,https://geni.us/XebB,,,https://s.click.aliexpress.com/e/_c3XeHXW7 | https://geni.us/XebB
Fasteners,hexagonal-head-cap-screw-7,Hexagonal Head Cap Screw,2,MC6S M3x30,https://s.click.aliexpress.com/e/_c3XeHXW7,https://geni.us/XebB,,,https://s.click.aliexpress.com/e/_c3XeHXW7 | https://geni.us/XebB
Fasteners,hexagonal-head-cap-screw-8,Hexagonal Head Cap Screw,4,MC6S M3x35,https://s.click.aliexpress.com/e/_c3XeHXW7,https://geni.us/uW3lDP,,,https://s.click.aliexpress.com/e/_c3XeHXW7 | https://geni.us/uW3lDP
Fasteners,hexagonal-head-cap-screw-9,Hexagonal Head Cap Screw,7,MC6S M3x40,https://s.click.aliexpress.com/e/_c3XeHXW7,https://geni.us/uW3lDP,,,https://s.click.aliexpress.com/e/_c3XeHXW7 | https://geni.us/uW3lDP
Fasteners,hexagonal-head-cap-screw-10,Hexagonal Head Cap Screw,2,MC6S M4x10,https://s.click.aliexpress.com/e/_c3piOj51,https://geni.us/aVZdcGf,,,https://s.click.aliexpress.com/e/_c3piOj51 | https://geni.us/aVZdcGf
Fasteners,hexagonal-head-cap-screw-11,Hexagonal Head Cap Screw,2,MC6S M4x12,https://s.click.aliexpress.com/e/_c3piOj51,https://geni.us/aVZdcGf,,,https://s.click.aliexpress.com/e/_c3piOj51 | https://geni.us/aVZdcGf
Fasteners,hexagonal-head-cap-screw-12,Hexagonal Head Cap Screw,8,MC6S M4x16,https://s.click.aliexpress.com/e/_c3piOj51,https://geni.us/aVZdcGf,,,https://s.click.aliexpress.com/e/_c3piOj51 | https://geni.us/aVZdcGf
Fasteners,hexagonal-head-cap-screw-13,Hexagonal Head Cap Screw,3,MC6S M4x20,https://s.click.aliexpress.com/e/_c3piOj51,https://geni.us/aVZdcGf,,,https://s.click.aliexpress.com/e/_c3piOj51 | https://geni.us/aVZdcGf
Fasteners,hexagonal-head-cap-screw-14,Hexagonal Head Cap Screw,4,MC6S M4x25,https://s.click.aliexpress.com/e/_c3piOj51,https://geni.us/aVZdcGf,,,https://s.click.aliexpress.com/e/_c3piOj51 | https://geni.us/aVZdcGf
Fasteners,hexagonal-head-cap-screw-15,Hexagonal Head Cap Screw,8,MC6S M4x30,https://s.click.aliexpress.com/e/_c3piOj51,https://geni.us/aVZdcGf,,,https://s.click.aliexpress.com/e/_c3piOj51 | https://geni.us/aVZdcGf
Fasteners,hexagonal-head-cap-screw-16,Hexagonal Head Cap Screw,4,MC6S M4x40,https://s.click.aliexpress.com/e/_c3piOj51,https://geni.us/aVZdcGf,,,https://s.click.aliexpress.com/e/_c3piOj51 | https://geni.us/aVZdcGf
Fasteners,hexagonal-head-cap-screw-17,Hexagonal Head Cap Screw,6,MC6S M4x45,https://s.click.aliexpress.com/e/_c3piOj51,https://geni.us/aVZdcGf,,,https://s.click.aliexpress.com/e/_c3piOj51 | https://geni.us/aVZdcGf
